Type,Question
generic,What are some interesting ideas about {} in Judaism?
generic,What usages does {} have in Jewish law?
generic,"What are Halachic texts regarding {}?"
generic,What are some interesting Jewish stories involving the concept of {}?
generic,"What were the most important deeds of {} from a Jewish perspective?"
generic,"What are Midrashic stories where {} plays a dominant role?"
generic,"What does the Tanakh have to say regarding {}?"
generic,"What do the Jewish sages have to say regarding {}?"
generic,"What are Kabbalistic ideas regarding {}?"
generic,"Why is {} important to modern Judaism?"
generic,"What historic significance does {} have to Judaism?"
generic,"What places are associated with {} from a Jewish perspective?"
generic,"Where was {} traditionally used from a Jewish perspective?"
generic,"When in the Jewish calendar does {} have particular significance?"
